function_path,type,type_name
probe:curve25519-dalek/4.1.3/batch_compress_lemmas/ristretto_lemmas/lemmas/lemma_segre_derives_t(),3,lemma
probe:curve25519-dalek/4.1.3/batch_compress_lemmas/ristretto_lemmas/lemmas/lemma_u1_u2_sq_factoring(),3,lemma
probe:curve25519-dalek/4.1.3/batch_compress_lemmas/ristretto_lemmas/lemmas/lemma_z_inv_std_is_one(),3,lemma
probe:curve25519-dalek/4.1.3/batch_invert_lemmas/field_lemmas/lemmas/lemma_backward_step(),3,lemma
probe:curve25519-dalek/4.1.3/batch_invert_lemmas/field_lemmas/lemmas/lemma_is_zero_iff_canonical_nat_zero(),3,lemma
probe:curve25519-dalek/4.1.3/batch_invert_lemmas/field_lemmas/lemmas/lemma_nat_zero_implies_all_zero_bytes(),3,lemma
probe:curve25519-dalek/4.1.3/batch_invert_lemmas/field_lemmas/lemmas/lemma_partial_product_nonzeros_is_nonzero(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_as_nat_eq_bits_from_index(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_as_nat_lt_pow2_255_implies_msb_false(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_as_nat_rec_eq_pow2_mul_bits_from_index(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_be_as_nat_eq_bits_from_index(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_chunks_eq_bytes_prefix(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_from_bytes_eq_u8_32_as_nat(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_from_index_eq_byte_bits(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_bits_from_index_split(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_byte_bits_value_full(),3,lemma
probe:curve25519-dalek/4.1.3/bits_as_nat_lemmas/common_lemmas/lemmas/lemma_byte_bits_value_is_mod(),3,lemma
probe:curve25519-dalek/4.1.3/bytes_to_scalar_lemmas/scalar_byte_lemmas/lemmas/lemma_byte_to_word_step(),3,lemma
probe:curve25519-dalek/4.1.3/bytes_to_scalar_lemmas/scalar_byte_lemmas/lemmas/lemma_bytes_to_word_equivalence(),3,lemma
probe:curve25519-dalek/4.1.3/bytes_to_scalar_lemmas/scalar_byte_lemmas/lemmas/lemma_words_to_scalar(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_all_carries_bounded_by_3(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_bounded_shr_51(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_carry_propagation_is_division(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_carry_propagation_setup(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_compute_q(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_q_biconditional(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_q_is_binary(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_radix51_remainder_bound(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_radix51_telescoping_direct(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_radix51_telescoping_expansion(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_single_stage_division(),3,lemma
probe:curve25519-dalek/4.1.3/compute_q_lemmas/field_lemmas/lemmas/lemma_stage_division_theorem(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_bridge_local_pow2_d2(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_edwards_d2_is_2d(),3,lemma
probe:curve25519-dalek/4.1.3/constants_lemmas/edwards_lemmas/lemmas/lemma_edwards_d2_limbs_bounded(),3,lemma
